"Dependent: Probiotic intake"," ","Neverusers","Everusers","p"
"Early Puberty","No Early Puberty","10237 (94.5)","9806 (94.3)","0.456"
"","Early Puberty","591 (5.5)","593 (5.7)",""
"Sex","Male","5367 (52.0)","5206 (52.8)","0.270"
"","Female","4959 (48.0)","4661 (47.2)",""
"BMI at age 5 (kg/m²)","Mean (SD)","15.6 (2.5)","15.6 (2.5)","0.384"
"Dairy intake at age 5","Never","0 (0.0)","0 (0.0)","0.660"
"","less than 1 time a week","1418 (15.6)","1557 (16.1)",""
"","1-2 times a week","2556 (28.1)","2736 (28.3)",""
"","3 to 5 times a week","2765 (30.4)","2901 (30.0)",""
"","everyday/almost everyday","1634 (18.0)","1732 (17.9)",""
"","Unsure","527 (5.8)","563 (5.8)",""
"","Not Applicable","0 (0.0)","0 (0.0)",""
"","Unknown","196 (2.2)","179 (1.9)",""
"Breast feeding","No breastfeeding","4886 (48.8)","4577 (47.7)","0.127"
"","breastfeeding","5119 (51.2)","5011 (52.3)",""
"Maternal education level","Junior High&below","2270 (24.9)","2510 (26.0)","0.072"
"","Senior High/Vocational","4726 (51.9)","4853 (50.2)",""
"","University&above","2117 (23.2)","2302 (23.8)",""
"Average month family income(NT$)","<10,000","871 (9.6)","936 (9.7)","0.938"
"",">=10,000,<20,000","901 (9.9)","926 (9.6)",""
"",">=20,000,<30,000","882 (9.7)","988 (10.2)",""
"",">=30,000,<50,000","930 (10.2)","963 (10.0)",""
"",">=50,000,<70,000","867 (9.5)","964 (10.0)",""
"",">=70,000,<100,000","917 (10.1)","997 (10.3)",""
"",">=100,000,<150,000","895 (9.8)","933 (9.7)",""
"",">=150,000,<200,000","888 (9.8)","937 (9.7)",""
"",">=200,000","870 (9.6)","910 (9.4)",""
"","Not Appliable","82 (0.9)","84 (0.9)",""
"","Refused/Don't Know","904 (9.9)","922 (9.6)",""
"","Unknown","85 (0.9)","82 (0.9)",""
