"Dependent..Early.Puberty","X.","No.Early.Puberty","Early.Puberty","OR..univariable.","OR..multivariable."
"Probiotic intake","Neverusers","10237 (94.5)","591 (5.5)","-","-"
"","Everusers","9806 (94.3)","593 (5.7)","1.05 (0.93-1.18, p=0.438)","1.04 (0.90-1.21, p=0.580)"
"Sex","Male","9960 (94.3)","601 (5.7)","-","-"
"","Female","9075 (94.5)","531 (5.5)","0.97 (0.86-1.09, p=0.616)","1.00 (0.86-1.16, p=0.992)"
"BMI at age 5 (kg/m²)","Mean (SD)","15.6 (2.5)","15.5 (2.5)","0.98 (0.96-1.01, p=0.123)","0.98 (0.95-1.01, p=0.264)"
"Dairy intake at age 5","Never","0 (NaN)","0 (NaN)","-","-"
"","less than 1 time a week","2793 (94.0)","179 (6.0)","-","-"
"","1-2 times a week","4995 (94.5)","292 (5.5)","0.91 (0.75-1.11, p=0.347)","0.91 (0.73-1.14, p=0.396)"
"","3 to 5 times a week","5358 (94.7)","301 (5.3)","0.88 (0.73-1.06, p=0.175)","0.87 (0.70-1.09, p=0.212)"
"","everyday/almost everyday","3165 (94.2)","196 (5.8)","0.97 (0.78-1.19, p=0.748)","0.95 (0.74-1.21, p=0.665)"
"","Unsure","1034 (95.1)","53 (4.9)","0.80 (0.58-1.09, p=0.164)","0.66 (0.43-0.97, p=0.040)"
"","Not Applicable","0 (NaN)","0 (NaN)","-","-"
"","Unknown","356 (94.9)","19 (5.1)","0.83 (0.50-1.32, p=0.460)","0.89 (0.49-1.49, p=0.678)"
"Breast feeding","No breastfeeding","8934 (94.6)","512 (5.4)","-","-"
"","breastfeeding","9545 (94.3)","576 (5.7)","1.05 (0.93-1.19, p=0.409)","1.06 (0.91-1.23, p=0.440)"
"Maternal education level","Junior High&below","4510 (94.5)","263 (5.5)","-","-"
"","Senior High/Vocational","9022 (94.3)","547 (5.7)","1.04 (0.89-1.21, p=0.614)","1.11 (0.93-1.33, p=0.252)"
"","University&above","4181 (94.7)","232 (5.3)","0.95 (0.79-1.14, p=0.592)","0.92 (0.74-1.15, p=0.469)"
"Average month family income(NT$)","<10,000","1714 (95.0)","90 (5.0)","-","-"
"",">=10,000,<20,000","1706 (93.4)","120 (6.6)","1.34 (1.01-1.78, p=0.042)","1.23 (0.88-1.74, p=0.228)"
"",">=20,000,<30,000","1762 (94.4)","105 (5.6)","1.13 (0.85-1.52, p=0.391)","1.30 (0.92-1.82, p=0.134)"
"",">=30,000,<50,000","1789 (94.8)","99 (5.2)","1.05 (0.79-1.41, p=0.726)","1.11 (0.78-1.57, p=0.557)"
"",">=50,000,<70,000","1750 (95.7)","79 (4.3)","0.86 (0.63-1.17, p=0.338)","0.84 (0.58-1.22, p=0.371)"
"",">=70,000,<100,000","1795 (93.9)","116 (6.1)","1.23 (0.93-1.64, p=0.151)","1.30 (0.93-1.82, p=0.126)"
"",">=100,000,<150,000","1734 (95.0)","92 (5.0)","1.01 (0.75-1.36, p=0.946)","1.11 (0.79-1.58, p=0.538)"
"",">=150,000,<200,000","1715 (94.2)","106 (5.8)","1.18 (0.88-1.57, p=0.268)","1.28 (0.91-1.80, p=0.152)"
"",">=200,000","1675 (94.1)","105 (5.9)","1.19 (0.89-1.60, p=0.230)","1.12 (0.79-1.59, p=0.529)"
"","Not Appliable","157 (94.6)","9 (5.4)","1.09 (0.50-2.09, p=0.807)","0.70 (0.21-1.73, p=0.495)"
"","Refused/Don't Know","1720 (94.2)","106 (5.8)","1.17 (0.88-1.57, p=0.277)","1.28 (0.91-1.80, p=0.154)"
"","Unknown","159 (95.2)","8 (4.8)","0.96 (0.42-1.89, p=0.910)","1.16 (0.48-2.44, p=0.712)"
